wave_num,S31,S32,S34,S35,S36,S37,S38,S39,S41,S42,S45,S48,S49,S50,S52,S54,S55,S57,S58,S62,S64,S69,S70
2.734189919,1.06976,1.324398333,0.837731667,0.669011667,0.996423333,0.99393,0.957458333,0.621673333,0.675911667,0.911938333,0.79226,1.195145,0.53503,0.574515,0.391513333,1.374091667,1.46399,0.685088333,1.19513,0.567395,0.578366667,1.472321667,0.597201667
2.719723372,1.053578333,1.30825,0.837013333,0.658578333,0.969305,0.981896667,0.945153333,0.609676667,0.661271667,0.901091667,0.785781667,1.196815,0.527035,0.5674,0.383183333,1.37596,1.50249,0.668563333,1.183165,0.560121667,0.573098333,1.484171667,0.590568333
2.705256526,1.031065,1.31525,0.835933333,0.648218333,0.95186,0.968331667,0.924751667,0.601288333,0.648868333,0.890865,0.778936667,1.181453333,0.51915,0.557011667,0.374903333,1.38593,1.49497,0.655038333,1.163473333,0.553531667,0.562456667,1.500493333,0.581288333
2.690789979,1.017523333,1.316188333,0.83253,0.636696667,0.950916667,0.951426667,0.906621667,0.595876667,0.63819,0.883453333,0.766836667,1.154818333,0.511516667,0.54594,0.366395,1.40093,1.476616667,0.64772,1.140686667,0.547073333,0.547648333,1.48795,0.572318333
2.676323432,1.014948333,1.299841667,0.82567,0.628171667,0.953406667,0.93885,0.891328333,0.587846667,0.627146667,0.873403333,0.75107,1.148526667,0.502645,0.535675,0.357651667,1.410901667,1.495611667,0.644378333,1.120586667,0.538501667,0.534661667,1.439308333,0.562238333
2.661856886,1.010488333,1.282993333,0.818123333,0.62189,0.93784,0.928206667,0.875103333,0.574638333,0.616883333,0.8564,0.738313333,1.166995,0.492858333,0.527323333,0.34968,1.396008333,1.505785,0.638193333,1.100221667,0.526211667,0.525756667,1.39746,0.549273333
2.647390339,0.99807,1.278156667,0.809048333,0.610696667,0.915668333,0.917528333,0.85949,0.56308,0.606886667,0.837606667,0.729343333,1.18217,0.484406667,0.52123,0.343671667,1.358903333,1.446333333,0.629,1.082023333,0.512361667,0.517263333,1.379055,0.537821667
2.632923492,0.989343333,1.284071667,0.79495,0.593693333,0.909378333,0.903415,0.841015,0.558013333,0.593888333,0.823488333,0.721011667,1.166376667,0.478071667,0.51312,0.339826667,1.335063333,1.402173333,0.623408333,1.07438,0.501833333,0.508028333,1.371498333,0.530161667
2.618456946,0.985761667,1.279075,0.778065,0.57751,0.911576667,0.884498333,0.823135,0.552961667,0.578905,0.813886667,0.712206667,1.136336667,0.472626667,0.502615,0.337263333,1.341011667,1.385095,0.618801667,1.069655,0.495996667,0.500286667,1.3563,0.523075
2.603990399,0.981071667,1.260426667,0.765948333,0.568365,0.900018333,0.871956667,0.816138333,0.545938333,0.567091667,0.803686667,0.701891667,1.118395,0.468806667,0.493471667,0.334283333,1.34747,1.377983333,0.610338333,1.058213333,0.490025,0.493205,1.343896667,0.513421667
2.589523852,0.982078333,1.255406667,0.7591,0.561435,0.879735,0.868191667,0.815431667,0.543106667,0.559998333,0.792073333,0.6904,1.116926667,0.465555,0.484488333,0.32972,1.333536667,1.364223333,0.59956,1.050706667,0.482235,0.486275,1.341865,0.504925
2.575057006,0.986455,1.251571667,0.753778333,0.55532,0.868168333,0.859966667,0.811168333,0.542285,0.554375,0.785651667,0.677371667,1.11586,0.461126667,0.474635,0.324715,1.316515,1.374873333,0.587763333,1.054191667,0.478176667,0.480406667,1.34213,0.500863333
